City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
saint george,20.0,GR,1536353400.0,78.0,39.45,22.34,22.0,2.1
grindavik,40.0,IS,1536354000.0,81.0,63.84,-22.43,12.0,14.4
hithadhoo,88.0,MV,1536356054.0,100.0,-0.6,73.08,26.88,3.75
sahuaripa,0.0,MX,1536356054.0,34.0,29.05,-109.23,32.93,1.15
caravelas,0.0,BR,1536356055.0,100.0,-17.73,-39.27,23.48,7.95
mataura,36.0,NZ,1536356055.0,87.0,-46.19,168.86,2.43,1.35
east london,0.0,ZA,1536356055.0,100.0,-33.02,27.91,16.68,4.45
pangnirtung,75.0,CA,1536354000.0,75.0,66.15,-65.72,6.0,3.6
bluff,12.0,AU,1536356056.0,94.0,-23.58,149.07,16.33,3.1
rikitea,92.0,PF,1536356057.0,100.0,-23.12,-134.97,21.63,11.45
provideniya,8.0,RU,1536356058.0,100.0,64.42,-173.23,8.38,3.6
turbat,20.0,PK,1536356058.0,96.0,26.0,63.05,20.68,1.05
perth,0.0,GB,1536353400.0,81.0,56.4,-3.43,12.0,5.7
ahipara,32.0,NZ,1536356059.0,85.0,-35.17,173.16,13.83,5.95
jamestown,0.0,AU,1536356060.0,77.0,-33.21,138.6,-0.62,1.45
new norfolk,20.0,AU,1536354000.0,86.0,-42.78,147.06,4.0,3.6
cayenne,40.0,GF,1536354000.0,74.0,4.94,-52.33,29.0,5.7
muros,0.0,ES,1536354000.0,82.0,42.77,-9.06,17.0,3.1
kuybysheve,92.0,UA,1536356062.0,96.0,47.36,36.65,15.78,8.9
busselton,76.0,AU,1536356062.0,100.0,-33.64,115.35,15.63,8.5
tasiilaq,92.0,GL,1536353400.0,75.0,65.61,-37.64,8.0,13.4
saldanha,44.0,PT,1536356064.0,63.0,41.42,-6.55,18.68,1.9
tuktoyaktuk,90.0,CA,1536354720.0,100.0,69.44,-133.03,2.0,6.7
punta arenas,40.0,CL,1536354000.0,65.0,-53.16,-70.91,8.0,7.2
ushuaia,75.0,AR,1536354000.0,70.0,-54.81,-68.31,6.0,7.2
norman wells,90.0,CA,1536354000.0,93.0,65.28,-126.83,4.0,8.7
colmenar viejo,40.0,ES,1536354120.0,60.0,40.66,-3.77,23.0,3.1
mount gambier,20.0,AU,1536356066.0,82.0,-37.83,140.78,5.63,2.6
puerto ayora,75.0,EC,1536354000.0,61.0,-0.74,-90.35,26.0,8.2
goderich,56.0,CA,1536356068.0,74.0,43.74,-81.71,20.53,5.6
butaritari,48.0,KI,1536356068.0,100.0,3.07,172.79,29.63,3.5
albany,75.0,US,1536353640.0,53.0,42.65,-73.75,24.4,2.6
thompson,40.0,CA,1536354000.0,37.0,55.74,-97.86,13.0,1.5
kabare,0.0,RW,1536356070.0,96.0,-1.65,29.38,14.33,1.2
hobart,20.0,AU,1536354000.0,86.0,-42.88,147.33,4.0,3.6
mwense,80.0,ZM,1536356071.0,58.0,-10.39,28.7,23.43,0.85
gubkinskiy,0.0,RU,1536356071.0,90.0,64.43,76.5,3.68,3.05
atuona,12.0,PF,1536356071.0,100.0,-9.8,-139.03,25.98,7.95
bambous virieux,20.0,MU,1536354000.0,64.0,-20.34,57.76,22.0,5.7
port alfred,0.0,ZA,1536356073.0,100.0,-33.59,26.89,12.48,5.65
cruzilia,0.0,BR,1536356074.0,39.0,-21.84,-44.81,21.78,1.1
moerai,92.0,PF,1536356074.0,100.0,-22.43,-151.33,22.83,7.6
mehamn,0.0,NO,1536353400.0,86.0,71.03,27.85,3.0,2.1
manaus,20.0,BR,1536354000.0,55.0,-3.13,-59.98,33.0,1.5
cape town,40.0,ZA,1536354000.0,87.0,-33.93,18.42,9.0,2.1
qasigiannguit,20.0,GL,1536353400.0,75.0,68.82,-51.19,6.0,1.5
abu dhabi,0.0,AE,1536354000.0,75.0,24.47,54.37,33.0,2.6
kalmunai,0.0,LK,1536356077.0,87.0,7.42,81.82,23.13,1.55
bredasdorp,88.0,ZA,1536354000.0,81.0,-34.53,20.04,10.0,2.6
kapaa,40.0,US,1536353760.0,79.0,22.08,-159.32,30.0,8.7
richards bay,92.0,ZA,1536356078.0,100.0,-28.77,32.06,19.13,2.05
terre-de-bas,90.0,GP,1536354000.0,78.0,15.85,-61.64,29.0,4.1
paralimni,32.0,GR,1536356079.0,74.0,40.99,23.67,20.43,1.1
shawnee,75.0,US,1536354900.0,91.0,35.33,-96.93,25.0,4.1
torbay,40.0,CA,1536354000.0,59.0,47.66,-52.73,16.0,6.2
arima,20.0,TT,1536354000.0,70.0,10.64,-61.28,30.0,3.6
panguna,20.0,PG,1536356081.0,89.0,-6.32,155.48,24.53,1.5
lorengau,36.0,PG,1536356081.0,100.0,-2.02,147.27,27.88,4.15
nizhniy baskunchak,88.0,RU,1536356082.0,36.0,48.22,46.83,17.33,4.25
ribeira grande,20.0,PT,1536350400.0,78.0,38.52,-28.7,24.0,2.1
pilar,0.0,AR,1536354000.0,39.0,-34.46,-58.91,19.0,4.1
kodiak,90.0,US,1536353580.0,96.0,39.95,-94.76,19.4,6.2
lebu,44.0,ET,1536356084.0,87.0,8.96,38.73,12.33,1.05
havre-saint-pierre,90.0,CA,1536354000.0,71.0,50.23,-63.6,14.0,5.1
vila franca do campo,75.0,PT,1536354000.0,88.0,37.72,-25.43,21.0,2.6
vostok,0.0,RU,1536356086.0,96.0,46.45,135.83,6.48,0.95
natal,20.0,BR,1536354000.0,65.0,-5.81,-35.21,26.0,6.2
vanimo,68.0,PG,1536356087.0,100.0,-2.67,141.3,24.88,1.2
banda aceh,76.0,ID,1536356088.0,99.0,5.56,95.32,23.83,1.3
kahului,75.0,US,1536353760.0,77.0,20.89,-156.47,28.3,5.7
khatanga,76.0,RU,1536356089.0,82.0,71.98,102.47,2.63,4.4
fortuna,20.0,ES,1536354000.0,78.0,38.18,-1.13,25.0,1.5
sidi ali,24.0,DZ,1536356090.0,82.0,36.1,0.42,20.63,1.2
ilulissat,20.0,GL,1536353400.0,75.0,69.22,-51.1,6.0,1.5
nikolskoye,0.0,RU,1536354000.0,93.0,59.7,30.79,15.0,2.0
shahr-e babak,36.0,IR,1536356091.0,35.0,30.12,55.12,19.18,2.7
meulaboh,24.0,ID,1536356092.0,100.0,4.14,96.13,25.28,1.5
margate,20.0,AU,1536354000.0,86.0,-43.03,147.26,4.0,3.6
esperance,20.0,TT,1536354000.0,70.0,10.24,-61.45,30.0,3.6
padang,68.0,ID,1536356094.0,100.0,-0.92,100.36,27.68,0.95
flin flon,90.0,CA,1536354000.0,58.0,54.77,-101.88,13.0,3.6
hermanus,100.0,ZA,1536356095.0,94.0,-34.42,19.24,9.03,3.0
victoria,75.0,BN,1536354000.0,94.0,5.28,115.24,26.0,1.5
la asuncion,40.0,EC,1536354000.0,51.0,-1.64,-78.74,18.0,7.2
saint-augustin,0.0,FR,1536354000.0,72.0,44.83,-0.61,17.0,2.6
la ronge,90.0,CA,1536354000.0,54.0,55.1,-105.3,13.0,7.2
sinnamary,0.0,GF,1536356098.0,93.0,5.38,-52.96,28.43,4.55
araouane,20.0,ML,1536356098.0,34.0,18.9,-3.53,32.28,3.7
castro,56.0,CL,1536356099.0,69.0,-42.48,-73.76,10.03,1.75
tuatapere,0.0,NZ,1536356100.0,100.0,-46.13,167.69,6.98,2.0
barrow,0.0,AR,1536356100.0,27.0,-38.31,-60.23,16.53,3.1
alofi,75.0,NU,1536354000.0,74.0,-19.06,-169.92,27.0,4.1
marevo,0.0,BA,1536354000.0,93.0,43.57,18.7,15.0,0.5
leon valley,40.0,US,1536354900.0,47.0,29.5,-98.62,33.9,1.9
airai,0.0,TL,1536356102.0,84.0,-8.93,125.41,13.63,0.7
talnakh,0.0,RU,1536356102.0,99.0,69.49,88.39,-2.12,1.75
hovd,0.0,NO,1536353400.0,62.0,63.83,10.7,17.0,4.6
tara,75.0,JP,1536354600.0,88.0,33.0,130.15,22.0,2.1
zhigansk,92.0,RU,1536356104.0,100.0,66.77,123.37,1.73,4.2
wukari,88.0,NG,1536356104.0,98.0,7.87,9.78,22.23,4.35
luderitz,0.0,NA,1536356105.0,82.0,-26.65,15.16,11.03,10.0
amparafaravola,56.0,MG,1536356105.0,90.0,-17.68,48.22,16.63,5.1
bahia de caraquez,20.0,EC,1536354000.0,74.0,-0.6,-80.42,26.0,5.1
severo-kurilsk,68.0,RU,1536356106.0,99.0,50.68,156.12,10.48,2.45
kununurra,0.0,AU,1536354000.0,100.0,-15.77,128.74,20.0,1.5
veraval,0.0,FR,1536354000.0,87.0,49.65,0.71,15.0,1.0
sept-iles,75.0,CA,1536354660.0,81.0,50.2,-66.38,12.0,5.1
atikokan,0.0,CA,1536356108.0,49.0,48.76,-91.62,20.13,1.5
ponta do sol,0.0,BR,1536356109.0,43.0,-20.63,-46.0,24.23,1.25
yellowknife,40.0,CA,1536354000.0,50.0,62.45,-114.38,13.0,2.6
warrnambool,48.0,AU,1536356110.0,100.0,-38.38,142.48,7.98,5.25
lavrentiya,0.0,RU,1536356111.0,89.0,65.58,-170.99,9.88,1.65
anniston,1.0,US,1536353760.0,44.0,33.66,-85.83,34.7,3.6
constitucion,75.0,MX,1536353280.0,72.0,23.99,-104.67,19.0,1.0
faanui,0.0,PF,1536356113.0,100.0,-16.48,-151.75,25.23,4.75
kavaratti,88.0,IN,1536356113.0,98.0,10.57,72.64,27.98,6.75
hermiston,1.0,US,1536353580.0,22.0,45.84,-119.29,31.7,2.6
xining,48.0,CN,1536356114.0,95.0,36.62,101.77,2.63,1.05
ryotsu,75.0,JP,1536354600.0,100.0,38.08,138.43,21.0,4.6
camocim,76.0,BR,1536355904.0,50.0,-2.9,-40.84,30.88,4.65
gizo,20.0,IL,1536353400.0,61.0,31.8,34.94,26.0,3.1
cockburn town,64.0,TC,1536356116.0,100.0,21.46,-71.14,28.38,4.15
avarua,40.0,CK,1536354000.0,69.0,-21.21,-159.78,26.0,3.1
katsuura,75.0,JP,1536355200.0,94.0,33.93,134.5,23.0,2.1
san quintin,75.0,PH,1536354000.0,94.0,17.54,120.52,25.0,3.1
ialibu,40.0,PG,1536354000.0,100.0,-6.28,143.99,16.0,2.6
geraldton,20.0,CA,1536354000.0,30.0,49.72,-86.95,14.0,4.6
